feature,fold,importance
age,0,0.0029630367290462757
age,1,0.01214212496280585
age,2,-0.00076985622186716
age,3,-0.003381389662888301
age,4,-0.006829344282502703
age,5,0.004522558990165071
age,6,0.0016965948252203656
age,7,-0.0006300284036327208
age,8,-0.006673444416933905
age,9,0.00036868274067680673
age,10,0.0008676019485332476
age,11,0.010091462818634822
age,12,-0.0025512621763508214
age,13,0.003412977795673122
age,14,-0.0014500910602272988
age,15,0.008056045670641665
age,16,-0.013566153412628523
age,17,-0.00019595529810191304
age,18,-0.004961631376500786
age,19,0.005388014142290837
age,20,0.01380808845868875
age,21,0.0010219212935736355
age,22,0.014780210368470669
age,23,0.0009812107758769729
age,24,-0.0005290507717711556
genre,0,-0.004472448648443472
genre,1,0.015779549393859088
genre,2,0.01131357797035546
genre,3,0.007818828629171127
genre,4,-0.0024224232736924645
genre,5,0.03149926618553376
genre,6,0.0027634411892736967
genre,7,-0.002608407701546822
genre,8,0.005726586530710587
genre,9,-0.00038537826119361407
genre,10,0.018221640407605842
genre,11,0.013771191214941202
genre,12,-0.006706978433381005
genre,13,0.010936726719747835
genre,14,0.00486962063833285
genre,15,-0.004992968181134016
genre,16,0.005429656810269201
genre,17,-0.00514899842418175
genre,18,0.007698285329160326
genre,19,0.0068062895761388745
genre,20,0.026636413486173405
genre,21,0.010996695105479548
genre,22,0.00992063991698181
genre,23,0.01402721421159292
genre,24,-0.010059920646827869
revenu_mensuel,0,0.041152699671825894
revenu_mensuel,1,0.013687672654477252
revenu_mensuel,2,0.0735715093452284
revenu_mensuel,3,0.06262907704191498
revenu_mensuel,4,0.07165710602867605
revenu_mensuel,5,0.023215379572521143
revenu_mensuel,6,0.08354024023123553
revenu_mensuel,7,0.03999263814880819
revenu_mensuel,8,0.10315517408271138
revenu_mensuel,9,0.07126941875349738
revenu_mensuel,10,0.05130485511762578
revenu_mensuel,11,0.0247387001819792
revenu_mensuel,12,0.06656891816801144
revenu_mensuel,13,0.03752373641763117
revenu_mensuel,14,0.10488626991052619
revenu_mensuel,15,0.022319117113437835
revenu_mensuel,16,0.1288616245239039
revenu_mensuel,17,0.06696902943955842
revenu_mensuel,18,0.05042463646290294
revenu_mensuel,19,0.018652882052126268
revenu_mensuel,20,0.03607446044385245
revenu_mensuel,21,0.06071113763657262
revenu_mensuel,22,0.011196189666951328
revenu_mensuel,23,0.08972922937198714
revenu_mensuel,24,0.06742070217797103
statut_marital,0,0.028512797824089407
statut_marital,1,0.004840052176361948
statut_marital,2,0.014130185457917232
statut_marital,3,0.038713743048017876
statut_marital,4,0.025772269048958175
statut_marital,5,0.02931734081292221
statut_marital,6,0.026922928533584457
statut_marital,7,-0.014337627481126403
statut_marital,8,0.030585717391052904
statut_marital,9,0.026010993900399383
statut_marital,10,0.019678126413686457
statut_marital,11,-0.002742516528799599
statut_marital,12,0.025916127868885176
statut_marital,13,0.00683874890136531
statut_marital,14,0.04332756735559653
statut_marital,15,0.03538892571722635
statut_marital,16,0.034684118700529856
statut_marital,17,0.0049062608441757805
statut_marital,18,0.005900974126074432
statut_marital,19,0.013947378109369657
statut_marital,20,0.014837731153207901
statut_marital,21,0.025921496622594287
statut_marital,22,-0.006897912850707966
statut_marital,23,0.03131578758571426
statut_marital,24,0.03599396463963109
departement,0,0.010703391287007836
departement,1,0.025938176990786883
departement,2,-0.002000268251976933
departement,3,0.02056544642422776
departement,4,-0.00343439350122795
departement,5,0.01580392335099645
departement,6,0.011286981683807817
departement,7,-0.002698105003993201
departement,8,0.007845143969072921
departement,9,0.034383363308728605
departement,10,0.013648394185561375
departement,11,-0.006068847745955596
departement,12,0.004330066953380918
departement,13,0.058133897801962466
departement,14,0.012188935648617737
departement,15,0.011017376917930222
departement,16,0.005787476584092477
departement,17,0.010692542634763835
departement,18,0.016602454850553394
departement,19,0.00461986177552226
departement,20,0.0040933186947043065
departement,21,0.0388442638268641
departement,22,0.008700770863767682
departement,23,0.016286961291201562
